=== 依存路径批处理开始 2025-09-14 16:15:22 ===
[DONE] 基于改进GRU的航空发动机寿命预测自注意力优化算法 stats={'total_pairs': 14, 'aligned_pairs': 1, 'path_found': 1, 'cross_sentence_pairs': 13, 'cross_sentence_path_found': 13}
[DONE] 基于改进混沌神经网络的飞机舵面故障预测研究 stats={'total_pairs': 12, 'aligned_pairs': 12, 'path_found': 12, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 基于数字孪生的飞机起落架健康管理技术 stats={'total_pairs': 15, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 8, 'cross_sentence_path_found': 8}
[DONE] 基于时序分解的飞机平均故障间隔飞行时间组合预测 stats={'total_pairs': 12, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 5, 'cross_sentence_path_found': 5}
[ALIGN_FAIL] 基于有源液压测试的电液换向阀泄漏预测理论与应用研究 | 本文 - 研究 - 电液换向阀内泄漏机制 | 实体至少一端未找到
[DONE] 基于有源液压测试的电液换向阀泄漏预测理论与应用研究 stats={'total_pairs': 6, 'aligned_pairs': 4, 'path_found': 4, 'cross_sentence_pairs': 1, 'cross_sentence_path_found': 1}
[DONE] 基于梯次推理获益原则的故障预测方法 stats={'total_pairs': 15, 'aligned_pairs': 11, 'path_found': 11, 'cross_sentence_pairs': 4, 'cross_sentence_path_found': 4}
[DONE] 基于模型的发动机喘振故障关键参量仿真与预测 stats={'total_pairs': 8, 'aligned_pairs': 4, 'path_found': 4, 'cross_sentence_pairs': 4, 'cross_sentence_path_found': 4}
[DONE] 基于模态切换的航空发动机容错控制 stats={'total_pairs': 13, 'aligned_pairs': 13, 'path_found': 13, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 基于模糊综合评判的飞机液压泵故障预测 stats={'total_pairs': 13, 'aligned_pairs': 8, 'path_found': 8, 'cross_sentence_pairs': 5, 'cross_sentence_path_found': 5}
[DONE] 基于混合驱动的航空发动机气路故障诊断技术综述 stats={'total_pairs': 11, 'aligned_pairs': 6, 'path_found': 6, 'cross_sentence_pairs': 5, 'cross_sentence_path_found': 5}
[DONE] 基于灰色理论的172飞机故障预测方法 stats={'total_pairs': 13, 'aligned_pairs': 13, 'path_found': 13, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 基于神经网络技术的飞机舵面故障趋势预测研究 stats={'total_pairs': 9, 'aligned_pairs': 5, 'path_found': 5, 'cross_sentence_pairs': 4, 'cross_sentence_path_found': 4}
